t,mi_bits,label_any_correct,entropy_bits,question,temperature,verify_score,k,agreement,gold_answers,max_tokens
3,0.985645,0,3.321928,Who voices the hairless cat in secret life of pets?,0.7,0.000000,10,0.100000,Steve Coogan,64
3,0.985645,0,3.321928,Who did raven marry in that's so raven?,0.7,0.000000,10,0.100000,her first love | Devon | her first love Devon | Devon Carter | Lil' J | Jonathan Richard McDaniel,64
3,0.985645,0,3.321928,Who wrote come as you are by crowder?,0.7,0.000000,10,0.100000,David Crowder | David Wallace Crowder | Crowder,64
3,0.985645,0,3.321928,Who wrote you ain't nothin but a hound dog?,0.7,0.000000,10,0.100000,Jerry Leiber and Mike Stoller,64
3,0.985645,0,3.321928,Where is the current season of survivor being played?,0.7,0.000000,10,0.100000,Fiji,64
3,0.985645,1,3.321928,Who sings been through the desert on a horse with no name?,0.7,0.000000,10,0.100000,Dewey Bunnell | America,64
3,0.985645,0,3.321928,Who plays astrid how to train your dragon?,0.7,0.000000,10,0.100000,Angela Bartys | America Ferrera,64
3,0.985645,0,3.321928,What year was germany split into east and west?,0.7,0.000000,10,0.100000,1945,64
3,0.985645,0,3.321928,How long was the empire state building the tallest building?,0.7,0.000000,10,0.100000,1931–1971 | 1931 until 1972 | 1931 to 1970 | nearly 40 years | 40 years,64
3,0.985645,0,3.321928,Who is the person who has lived the longest?,0.7,0.000000,10,0.100000,Jeanne Calment | Sarah Knauss | Kane Tanaka | Jean Calment,64
3,0.985645,0,3.321928,Who played nancy's boyfriend in stranger things?,0.7,0.000000,10,0.100000,"1969 | Brandenburg v. Ohio, 395 U.S. 444 (1969) | Clarence Brandenburg v. State of Ohio | Brandenburg v. Ohio",64
3,0.985645,0,3.321928,What is the name of the stadium where the carolina panthers play?,0.7,0.000000,10,0.100000,The B of A | Bank of America Stadium | The Bank | The Vault | The BOA | Memorial Stadium,64
3,0.985645,0,3.321928,Who set up the first stockyard for texas cattle in abilene kansas?,0.7,0.000000,10,0.100000,"Joseph G. McCoy | Joseph ""Cowboy' McCoy",64
3,0.985645,0,3.321928,When was ain't i a woman written?,0.7,0.000000,10,0.100000,"May 29, 1851 | June 21, 1851 | May 1863 | 1981",64
3,0.985645,0,3.321928,How many american lives were lost in the revolutionary war?,0.7,0.000000,10,0.100000,"25,000–70,000 | 6,800 | 10,000 | 17,000 | 25,000 | 70,000",64
3,0.985645,0,3.321928,Who is mrs potts in beauty and the beast 2017?,0.7,0.000000,10,0.100000,the castle's motherly head housekeeper | Emma Thompson | Thompson | housekeeper | Dame Emma Thompson DBE | Dame Emma Thompson,64
3,0.985645,0,3.321928,When did dragon ball z come out in america?,0.7,0.000000,10,0.100000,"September 13, 1996 | December 3, 2002 | August 5, 2014 | April 18, 2015 | January 22, 2006",64
3,0.985645,0,3.321928,Microsoft live movie maker is an example of free?,0.7,0.000000,10,0.100000,freeware | Video editing software,64
3,0.985645,0,3.321928,When is the last time the padres made the playoffs?,0.7,0.000000,10,0.100000,2006 | 2006 National League playoffs,64
3,0.985645,0,3.321928,Who played the original roman on days of our lives?,0.7,0.000000,10,0.100000,Wayne Northrop,64
3,0.985645,0,3.321928,When did the albany plan of union take place?,0.7,0.000000,10,0.100000,"Albany Congress | Albany Convention of 1754 | 1754 | July 10, 1754",64
3,0.985645,0,3.321928,When did ben rectors new album come out?,0.7,0.000000,10,0.100000,"August 28, 2015 | August 20, 2013 | September 13, 2011",64
3,0.985645,0,3.321928,When does ex on the beach season 8 start?,0.7,0.000000,10,0.100000,20 March 2018,64
3,0.985645,0,3.321928,When has argentina won the fifa world cup?,0.7,0.000000,10,0.100000,Argentina 78 | 1978 | 1978 FIFA World Cup | 1978 FIFA World Cup Final | Copa Mundial de Fútbol Argentina '78 | 25 June 1978 | 1986 FIFA World Cup | Copa Mundial de Fútbol México '86 | 1986 | 29 June 1986 | 13th FIFA World Cup | 1986 FIFA World Cup Final | Mexico '86,64
3,0.985645,0,3.321928,What are the 5 major circles of latitude?,0.7,0.000000,10,0.100000,Arctic Circle | Tropic of Cancer | Equator | Tropic of Capricorn | Antarctic Circle,64
3,0.985645,0,3.321928,How many base pairs in diploid human genome?,0.7,0.000000,10,0.100000,about 6 billion,64
3,0.985645,0,3.321928,What is it called when you mix up the letters of a word?,0.7,0.000000,10,0.100000,Anagram | Dyslexia | anagram,64
3,0.985645,0,3.321928,When does spring break start in the us?,0.7,0.000000,10,0.100000,before or after Easter | from March to April | week of the third Monday in April | April | usually around Easter | March,64
3,0.985645,0,3.321928,Where was the movie come and find me filmed?,0.7,0.000000,10,0.100000,"Vancouver, British Columbia",64
3,0.985645,0,3.321928,How much did it cost rio to host the olympics?,0.7,0.000000,10,0.100000,"US$13,100,000,000 | US$11.6 billion",64
3,0.985645,0,3.321928,Who is the character tess in this is us?,0.7,0.000000,10,0.100000,Eris Baker | daughter of Randall and Beth Pearson,64
3,0.985645,0,3.321928,The analects have been attributed to the founder of this religion?,0.7,0.000000,10,0.100000,Ruism | Confucianism,64
3,0.985645,0,3.321928,Where can i use my golden age passport?,0.7,0.000000,10,0.100000,United States National Parks | United States national parks | Federal recreation entrance or standard amenity fee sites,64
3,0.985645,0,3.321928,When was the new international version bible written?,0.7,0.000000,10,0.100000,1978 | 1999 | 1993 | 1973 | 2011 | 1965,64
3,0.985645,0,3.321928,Which international border does the gariep-orange follow before it enters the sea?,0.7,0.000000,10,0.100000,South Africa and Namibia and between South Africa and Lesotho,64
3,0.985645,0,3.321928,Who is the statue of liberty supposed to be?,0.7,0.000000,10,0.100000,Libertas | Liberty | Liberty (personification) | István Horthy,64
3,0.985645,0,3.321928,Who got rid of the romans in britain?,0.7,0.000000,10,0.100000,Romano-Britains | Magnus Maximus,64
3,0.985645,0,3.321928,Who won the lincoln horse race last year?,0.7,0.000000,10,0.100000,"Bravery | Daniel Tudhope | Daniel ""Danny"" Tudhope | David O'Meara | Secret Brief | William Buick | Charlie Appleby | Gabrial | Tony Hamilton | Richard Fahey",64
3,0.985645,0,3.321928,Who elects the president of the european parliament?,0.7,0.000000,10,0.100000,members of Parliament | the members of Parliament | Parliament | European People's Party (EPP) and Party of European Socialists (PES),64
3,0.985645,0,3.321928,Highest runs in t20 international in an innings?,0.7,0.000000,10,0.100000,Aaron Finch | Aaron James Finch | Afghanistan national cricket team | Afganistan | 75 | Kasun Rajitha,64
3,0.985645,0,3.321928,Who won the match of asia cup 2018?,0.7,0.000000,10,0.100000,"India, Pakistan | India, Bangladesh | Bangladesh | India | Japan",64
3,0.985645,0,3.321928,Who plays the teacher on f the prom?,0.7,0.000000,10,0.100000,Lilly Singh,64
3,0.985645,0,3.321928,Some mice have a wheel in the middle. generally what is this wheel for?,0.7,0.000000,10,0.100000,scrolling | running | exercise,64
3,0.985645,0,3.321928,Who was british pm and viceroy during quit india movement?,0.7,0.000000,10,0.100000,"Winston Churchill | Lord Linlithgow | Linlithgow | Victor Hope, 2nd Marquess of Linlithgow | Victor Alexander John Hope, 2nd Marquess of Linlithgow | Victor Alexander John Hope | Sir Winston Leonard Spencer-Churchill",64
3,0.985645,0,3.321928,When did the redskins go to the superbowl?,0.7,0.000000,10,0.100000,"January 26, 1992 | Superbowl 26 | Superbowl XXVI | January 22, 1984 | Superbowl XVIII | Superbowl 18 | January 31, 1988 | Superbowl XXII | Superbowl 22",64
3,0.985645,0,3.321928,Who is the most subscribed vlogger on youtube?,0.7,0.000000,10,0.100000,PewDiePie | Pewdiepie | Felix Arvis Ulf Kjellberg,64
3,0.985645,0,3.321928,Which last longer the mitotic phase or interphase?,0.7,0.000000,10,0.100000,interphase | Interphase,64
3,0.985645,0,3.321928,Kind of oil that has been turned into a solid fat?,0.7,0.000000,10,0.100000,vegetable oils | palm oil | hydrogenated vegetable oils,64
3,0.985645,0,3.321928,When does last chance u season 3 take place?,0.7,0.000000,10,0.100000,"July 21, 2018 | August 26 - December 4 2017 | August 26, 2017 - December 4, 2017",64
3,0.985645,0,3.321928,When did the last season of jersey shore air?,0.7,0.000000,10,0.100000,"August 4, 2011 | October 20, 2011 | January 5, 2012 | March 15, 2012 | October 4, 2012 | December 20, 2012",64
